nama_usaha,alamat,penanggung_jawab,badan_usaha,nomor_telepon,nomor_faximili,jenis_hotel,masa_berlaku
POP! HOTEL KEMANG,Jl. Kemang Raya No. 3,Ryan Adrian,PT. Hotel Kemang Realty,021 5220568,021 5207931,H Bintang 1,06-02-15
PECENONGAN CITY,Jl. Ceylon No. 19,Etty Latifah Aljufri,PT. Pecenongan City Hotel,021 3853583,021 3855757,H Bintang 1,22-02-15
IBIS BUDGET,Jl. HOS Cokroaminoto No. 79,L. Erfurt Chandra Putra Asali,PT. Jakarta Setiabudi Internasional Tbk,021 3918007,021 3918007,H Bintang 1,25-02-15
ANGKASA,Jl. Sultan Hamengkubuwono IX KM. 25 RT. 001/00 ,Trisno Soehardi,PT. Wisata Angkasa Permai,021 46825890,021 46826791,H Bintang 1,27-02-15
PURI MEGA,Jl. Rawamangun No. 59,Bambang Siswanto,PT. Setralcipta Propertindo,021 4214744,021 4246562,H Bintang 1,04-03-15
TUGU ASRI,Jl. Jatibaru No. 7-9,Lina Asmahan Abdullah,PT. Hotel Tugu Asri,021 326292,021 3804300,H Bintang 1,27-03-15
MIRAH,Jl. Gunung Sahari XII/18,Atam Sentjaja,PT. Beringin Selaras Graha,021 6598250,021 6598255,H Bintang 1,15-04-15
PENINSULA HOTEL,Jl. Mangga Besar Raya No. 60,Gunawan Latief,PT. Peninsula Karya Jaya,021 6260368,021 6593749,H Bintang 1,16-06-15
IBIS BUDGET,Jl. Cikini Raya No. 75,"Andi Sofyan., SH",PT. Hotel Cikini Realty,021 108,021 108,H Bintang 1,17-09-15
POP ! HOTEL KELAPA GADING,Jl. Kelapa Gading Boulevard,Johanes Mardjuki,PT. Summarecon Hotelindo,021 108,021 108,H Bintang 1,07-11-15
MEGAH INTERNASIONAL,Jl. Bungur Besar Raya No. 31,Ong Mie Kia,CV. Hotel Megah Internasional,021 4259781,021 4259780,H Bintang 1,21-11-15
HOTEL PURI JAYA,Jl. Percetakan Negara V/5,Bambang Siswanto,PT. Sulaiman Maharaja Diraja,021 4215320,021 4215322,H Bintang 1,26-11-15
BANYUWANGI SINTERA,Jl. H. Samanhudi 32 B-34,Ali Hasan,PT. Banyuwangi Sintera,021 3857551,021 3808581,H Bintang 1,29-11-15
