wilayah,kecamatan,nama_hotel,jenis_hotel,alamat,nomor_telepon
Jakarta Barat,Cengkareng,Samala Hotel                                                               ,Hotel Bintang 2,Jl. Daan Mogot Kav.2 Cengkareng,021 22523780
Jakarta Barat,Cengkareng,Aston  Hotel                                                     ,Hotel Bintang 3,Jl. Raya Kamal Outer Ring Road Blok C 01 No.18,021 54356264
Jakarta Barat,Cengkareng,Couleur Hotel ,Hotel Melati 1,Jl. Lingkar Luar barat No. 1A 1C  Cengkareng,021 54399936
Jakarta Barat,Cengkareng,Hotel  23,Hotel Melati 3,Jl. Kapuk Raya No. 23,021 5408677
Jakarta Barat,Cengkareng,Agusta Hotel,Hotel Melati 3,Jl. Lingkar Luar Barat No. 1 RT.001/08,021 5453130
Jakarta Barat,Grogol Pertamburan,Suba Hotel,Hotel Melati 1,Jl. Daan Mogot No. 35 D E F,021 5665855
Jakarta Barat,Grogol Pertamburan,Hotel Widya,Hotel Melati 1,Jl. Daan Mogot 1 No. 11,0819 08883001
Jakarta Barat,Grogol Pertamburan,Maxley,Hotel Melati 2,Jl. Arjuna Utara No. 32 Blok A No. 9 10,021 29315792
Jakarta Barat,Grogol Pertamburan,Business Hotel,Hotel Melati 3,Jl. Raya Tomang,021 29200555
Jakarta Barat,Grogol Pertamburan,Feodora Hotel,Hotel Melati 3,Jl. Dr. Susilo Raya  No. 113 Grogol,021 56945000
Jakarta Barat,Grogol Pertamburan,Comfort  Hotel                                                             ,Hotel Bintang 1,Jl. Latumenten N0.50,021 56960598
Jakarta Barat,Grogol Pertamburan,Mople Hotel                                                                    ,Hotel Bintang 1,Jl. Daan Mogot Dalam Tanjung Duren,021 22561234
Jakarta Barat,Grogol Pertamburan,Amaris Hotel Grogol                                      ,Hotel Bintang 2,Jl. Dr. Susilo Raya No. 4 Rt 001/03,021 29512333
Jakarta Barat,Grogol Pertamburan,Ibis Budget Hotel                                                               ,Hotel Bintang 2,Jl. Daan Mogot No.50 B Grogol,"021 62212910, 021 62212911"
Jakarta Barat,Grogol Pertamburan,Banian Boulevar Hotel                         ,Hotel Bintang 3,Jl.Tanjung Duren Raya,021 5662288
Jakarta Barat,Grogol Pertamburan,Fm 1  Boutique Hotel,Hotel Bintang 3,Jl.Letjen S Parman Kav.8,021 5633333
Jakarta Barat,Grogol Pertamburan,Business  Hotel  Tomang Jakarta                                   ,Hotel Bintang 3,Jl. Tomang Raya No.51,021 29200555
Jakarta Barat,Grogol Pertamburan,Grand Tjokro Hotel                                ,Hotel Bintang 3,Jl.Daan Mogot  Rt 002/01,021 5660230
Jakarta Barat,Grogol Pertamburan,B Fashion Hotel                                                         ,Hotel Bintang 3,"Jl. Ananda No.1 Tanjung Duren, ",021 29666777
Jakarta Barat,Grogol Pertamburan,Ciputra Hotel,Hotel Bintang 4,Jl. Letjen S Parman ,021 5660640
